"id";"created_at";"name";"email";"address";"city";"state";"zip";"birth_date";"latitude";"longitude";"password";"source"
1;"2017-10-07T01:34:35.462Z";"Hudson Borer";"borer-hudson@yahoo.com";"9611-9809 West Rosedale Road";"Wood River";"NE";"68883";"1986-12-12";40.7132;-98.526;"ccca881f-3e4b-4e5c-8336-354103604af6";"Twitter"
2;"2018-04-09T12:10:05.167Z";"Domenica Williamson";"williamson-domenica@yahoo.com";"101 4th Street";"Searsboro";"IA";"50242";"1967-06-10";41.5813;-92.6991;"eafc45bf-cf8e-4c96-ab35-ce44d0021597";"Affiliate"
3;"2017-06-27T06:06:20.625Z";"Lina Heaney";"lina.heaney@yahoo.com";"29494 Anderson Drive";"Sandstone";"MN";"55072";"1961-12-18";46.1197;-92.8416;"36f67891-34e5-4439-a8a4-2d9246775ff8";"Facebook"
4;"2019-02-21T13:59:15.348Z";"Arnold Adams";"adams.arnold@gmail.com";"2-7900 Cuerno Verde Road";"Rye";"CO";"81069";"1992-08-12";37.9203;-104.973;"537a727b-7525-44a3-99c8-8fdc488fbf02";"Google"
5;"2017-09-05T03:36:44.811Z";"Dominique Leffler";"leffler.dominique@hotmail.com";"761 Fish Hill Road";"Beaver Dams";"NY";"14812";"1974-04-20";42.349;-77.0567;"6a802b6c-4da8-4881-9ca6-4f69085c7c14";"Twitter"
6;"2016-09-22T10:08:29.599Z";"Rene Muller";"rene.muller@gmail.com";"1243 West Whitney Street";"Morse";"LA";"70559";"1983-03-27";30.1515;-92.4862;"760495fb-9c38-4351-a6ee-4743d10d345e";"Google"
7;"2018-05-24T06:18:20.069Z";"Roselyn Bosco";"bosco.roselyn@hotmail.com";"630 Coaker Road";"Leakesville";"MS";"39451";"1996-01-19";31.2341;-88.5857;"43adf4af-055b-4a39-bc06-489fb0ffcf40";"Facebook"
8;"2017-08-18T02:55:11.873Z";"Aracely Jenkins";"aracely.jenkins@gmail.com";"1167 East 570th Avenue";"Pittsburg";"KS";"66762";"1973-06-05";37.4347;-94.6427;"6bb01b7f-6426-47d3-bfca-95dcc42b8b27";"Facebook"
9;"2018-10-13T23:52:56.176Z";"Anais Ward";"ward.anais@gmail.com";"5816-5894 280th Street";"Ida Grove";"IA";"51445";"1999-10-16";42.2979;-95.4674;"a3de5208-2f2f-4c81-9fe7-8d254bd5095d";"Twitter"
10;"2018-08-16T12:16:30.307Z";"Tressa White";"white.tressa@yahoo.com";"13081-13217 Main Street";"Upper Sandusky";"OH";"43351";"1968-01-13";40.8007;-83.2838;"81052233-b32e-43cb-9505-700dbd8d3fca";"Google"
11;"2018-03-19T07:17:22.759Z";"Lolita Schaefer";"schaefer-lolita@hotmail.com";"495 Juniper Road";"Pilot Mound";"IA";"50223";"1982-08-20";42.1394;-93.9824;"ceddd766-924b-4856-9dcb-a15b4c1b154c";"Facebook"
12;"2018-06-27T17:25:24.344Z";"Ciara Larson";"ciara-larson@hotmail.com";"16701-16743 449th Avenue";"Florence";"SD";"57235";"1982-12-16";44.9564;-97.2287;"eb925d11-ea2f-41fb-a490-72b7c2b24dc0";"Facebook"
13;"2017-09-21T16:21:06.408Z";"Mustafa Thiel";"mustafa.thiel@hotmail.com";"2993 Hoskings Ranch Road";"Santa Ysabel";"CA";"92070";"1963-07-20";33.0817;-116.662;"bb85c7fa-4314-4e41-a060-7d0159f16931";"Facebook"
14;"2018-06-17T23:29:39.271Z";"Lavonne Senger";"senger.lavonne@yahoo.com";"3964 Chico River Road";"Chico";"CA";"95928";"1963-09-22";39.6486;-121.934;"8beebcc9-a376-447a-812f-7544fdc52ec7";"Facebook"
15;"2018-12-20T17:50:32.296Z";"Bertrand Romaguera";"romaguera.bertrand@gmail.com";"258 Opal Road";"El Paso";"AR";"72045";"2000-02-14";35.108;-92.0102;"2734ae7a-aa25-4907-9d2e-a6992750db60";"Twitter"
16;"2016-05-14T23:44:56.182Z";"Khalid Pouros";"khalid-pouros@yahoo.com";"3234 County Road 7";"Greensboro";"AL";"36744";"1961-09-16";32.7043;-87.5414;"e60e4c1e-c9dc-47fe-9f4b-138651cebd85";"Google"
17;"2017-03-05T20:38:57.437Z";"Lora Cronin";"lora-cronin@gmail.com";"6111 Rogue Riv";"Gold Beach";"OR";"97444";"1990-02-16";42.5049;-124.188;"1b414387-e9c0-4b97-ba60-263268e38f3d";"Organic"
18;"2017-04-25T20:11:39.430Z";"Arely Pollich";"pollich-arely@yahoo.com";"13116 Northeast Sandy Boulevard";"Portland";"OR";"97230";"1990-06-27";45.5549;-122.528;"251cd4bd-d7c9-4704-a864-edd953952a9b";"Affiliate"
19;"2018-12-03T07:27:47.569Z";"Wyman Kertzmann";"wyman-kertzmann@gmail.com";"1460 Grays Creek Road";"Grants Pass";"OR";"97527";"1975-07-23";42.3223;-123.324;"89ef82c4-55e2-4907-94a6-09b0368b3c58";"Affiliate"
